Rank,Release Group,Worldwide,Domestic,%,Foreign,%
87,Fearless,"$68,072,848","$24,633,730",36.2%,"$43,439,118",63.8%
88,When a Stranger Calls,"$67,062,123","$47,860,214",71.4%,"$19,201,909",28.6%
89,Take the Lead,"$66,499,627","$34,742,066",52.2%,"$31,757,561",47.8%
90,Flags of Our Fathers,"$65,900,249","$33,602,376",51%,"$32,297,873",49%
91,16 Blocks,"$65,664,721","$36,895,141",56.2%,"$28,769,580",43.8%
92,The Benchwarmers,"$64,962,629","$59,843,754",92.1%,"$5,118,875",7.9%
93,Madea's Family Reunion,"$63,368,939","$63,318,000",99.9%,"$50,939",<0.1%
94,Snakes on a Plane,"$62,022,014","$34,020,814",54.9%,"$28,001,200",45.1%
95,My Super Ex-Girlfriend,"$61,108,981","$22,530,295",36.9%,"$38,578,686",63.1%
96,Marie Antoinette,"$60,917,189","$15,962,471",26.2%,"$44,954,718",73.8%
97,Limit of Love: Umizaru,"$60,369,589",-,-,"$60,369,589",100%
98,Invincible,"$58,480,828","$57,806,952",98.8%,"$673,876",1.2%
99,She's the Man,"$57,194,667","$33,741,133",59%,"$23,453,534",41%
100,Lucky Number Slevin,"$56,308,881","$22,495,466",40%,"$33,813,415",60%
101,The Ant Bully,"$55,181,129","$28,142,535",51%,"$27,038,594",49%
102,Stranger Than Fiction,"$53,653,224","$40,660,952",75.8%,"$12,992,272",24.2%
103,The Texas Chainsaw Massacre: The Beginning,"$51,764,406","$39,517,763",76.3%,"$12,246,643",23.7%
104,Doomsday: The Sinking of Japan,"$51,127,401",-,-,"$51,127,401",100%
105,Notes on a Scandal,"$49,814,392","$17,510,118",35.2%,"$32,304,274",64.8%
106,An Inconvenient Truth,"$49,782,012","$24,146,161",48.5%,"$25,635,851",51.5%
107,The Black Dahlia,"$49,332,692","$22,545,080",45.7%,"$26,787,612",54.3%
108,The Last King of Scotland,"$48,618,191","$17,606,684",36.2%,"$31,011,507",63.8%
109,Suite Dreams,"$48,090,431",-,-,"$48,090,431",100%
110,Death Note: The Last Name,"$47,917,637",-,-,"$47,917,637",100%
111,Deck the Halls,"$47,232,776","$35,093,569",74.3%,"$12,139,207",25.7%
112,The Nativity Story,"$46,432,264","$37,629,831",81%,"$8,802,433",19%
113,We Are Marshall,"$43,545,364","$43,545,364",100%,-,-
114,Last Holiday,"$43,451,846","$38,399,961",88.4%,"$5,051,885",11.6%
115,Glory Road,"$42,938,449","$42,647,449",99.3%,"$291,000",0.7%
116,Crank,"$42,931,041","$27,838,408",64.8%,"$15,092,633",35.2%
117,Man of the Year,"$42,472,472","$37,327,390",87.9%,"$5,145,082",12.1%
118,A Good Year,"$42,269,923","$7,459,300",17.6%,"$34,810,623",82.4%
119,200 Pounds Beauty,"$42,013,016",-,-,"$42,013,016",100%
120,Gridiron Gang,"$41,480,851","$38,432,823",92.7%,"$3,048,028",7.3%
121,Thank You for Smoking,"$39,323,027","$24,793,509",63.1%,"$14,529,518",36.9%
122,Scoop,"$39,220,946","$10,525,717",26.8%,"$28,695,229",73.2%
123,Tazza: The High Rollers,"$39,212,715",-,-,"$39,212,715",100%
124,The Wicker Man,"$38,805,380","$23,649,127",60.9%,"$15,156,253",39.1%
125,Basic Instinct 2,"$38,629,478","$5,971,336",15.5%,"$32,658,142",84.5%
126,Accepted,"$38,623,262","$36,323,505",94%,"$2,299,757",6%
127,Day Watch,"$38,411,815",-,-,"$38,411,815",100%
128,Employee of the Month,"$38,395,414","$28,444,855",74.1%,"$9,950,559",25.9%
129,Just My Luck,"$38,159,905","$17,326,650",45.4%,"$20,833,255",54.6%
130,Camping,"$37,912,041",-,-,"$37,912,041",100%
131,The Covenant,"$37,598,767","$23,380,495",62.2%,"$14,218,272",37.8%
132,Miss Potter,"$35,078,241","$3,005,605",8.6%,"$32,072,636",91.4%
133,Bambi and the Great Prince of the Forest,"$34,958,637",-,-,"$34,958,637",100%
134,Love and Honor,"$33,755,574","$60,910",0.2%,"$33,694,664",99.8%
135,Tell No One,"$33,406,992","$6,177,192",18.5%,"$27,229,800",81.5%
136,7 Dwarves: The Forest Is Not Enough,"$32,863,752",-,-,"$32,863,752",100%
137,Dhoom 2,"$32,396,427","$2,643,586",8.2%,"$29,752,841",91.8%
138,Stick It,"$31,976,848","$26,910,736",84.2%,"$5,066,112",15.8%
139,Deutschland. Ein Sommermärchen,"$31,257,991",-,-,"$31,257,991",100%
140,Ultraviolet,"$31,070,211","$18,535,812",59.7%,"$12,534,399",40.3%
141,Doraemon the Movie: Nobita's Dinosaur,"$30,963,292",-,-,"$30,963,292",100%
142,Twosabu ilchae,"$30,622,421",-,-,"$30,622,421",100%
143,Natale a New York,"$30,437,121",-,-,"$30,437,121",100%
144,I Do: How to Get Married and Stay Single,"$30,057,369",-,-,"$30,057,369",100%
145,Pulse,"$29,907,685","$20,264,436",67.8%,"$9,643,249",32.2%
146,Death Note,"$29,630,359",-,-,"$29,630,359",100%
147,An American Haunting,"$29,612,137","$16,298,046",55%,"$13,314,091",45%
148,The Valet,"$29,414,553","$1,926,800",6.6%,"$27,487,753",93.4%
149,Tristan + Isolde,"$28,047,963","$14,734,633",52.5%,"$13,313,330",47.5%
150,Priceless,"$27,949,650","$2,165,188",7.7%,"$25,784,462",92.3%
151,Pokémon Ranger and the Temple of the Sea,"$27,638,625",-,-,"$27,638,625",100%
152,Stay Alive,"$27,298,695","$23,086,480",84.6%,"$4,212,215",15.4%
153,Clerks II,"$26,984,975","$24,148,068",89.5%,"$2,836,907",10.5%
154,The Painted Veil,"$26,910,847","$8,060,487",30%,"$18,850,360",70%
155,Black Book,"$26,768,563","$4,398,532",16.4%,"$22,370,031",83.6%
156,Detective Conan: The Private Eyes' Requiem,"$26,251,232",-,-,"$26,251,232",100%
157,A Prairie Home Companion,"$25,978,867","$20,342,852",78.3%,"$5,636,015",21.7%
158,You Are So Beautiful,"$25,329,576",-,-,"$25,329,576",100%
159,Nada sô sô,"$25,300,338",-,-,"$25,300,338",100%
160,Kabhi Alvida Naa Kehna,"$25,229,168","$3,275,444",13%,"$21,953,724",87%
161,School for Scoundrels,"$23,947,685","$17,807,569",74.4%,"$6,140,116",25.6%
162,Stormbreaker,"$23,937,870","$677,646",2.8%,"$23,260,224",97.2%
163,Il mio miglior nemico,"$23,710,143",-,-,"$23,710,143",100%
164,Valley of the Wolves: Iraq,"$23,465,471",-,-,"$23,465,471",100%
165,Captain Alatriste: The Spanish Musketeer,"$23,321,954",-,-,"$23,321,954",100%
166,"OSS 117: Cairo, Nest of Spies","$23,055,884","$303,543",1.3%,"$22,752,341",98.7%
167,Aquamarine,"$22,989,957","$18,597,342",80.9%,"$4,392,615",19.1%
168,Days of Glory,"$22,963,701","$320,700",1.4%,"$22,643,001",98.6%
169,The Wind that Shakes the Barley,"$22,899,908","$1,836,089",8%,"$21,063,819",92%
170,The Banquet,"$22,598,772",-,-,"$22,598,772",100%
171,Asterix and the Vikings,"$22,501,596",-,-,"$22,501,596",100%
172,Fanaa,"$22,175,908","$2,105,352",9.5%,"$20,070,556",90.5%
173,The Marine,"$22,165,608","$18,844,784",85%,"$3,320,824",15%
174,Unaccompanied Minors,"$21,949,234","$16,655,224",75.9%,"$5,294,010",24.1%
175,Flicka,"$21,893,591","$21,000,147",95.9%,"$893,444",4.1%
176,Rob-B-Hood,"$21,836,580",-,-,"$21,836,580",100%
177,Wolfhound,"$21,573,338",-,-,"$21,573,338",100%
178,Black Christmas,"$21,510,851","$16,273,581",75.7%,"$5,237,270",24.3%
179,Waist Deep,"$21,353,303","$21,344,312",100%,"$8,991",<0.1%
180,ATL,"$21,170,563","$21,170,563",100%,-,-
181,Bobby,"$20,704,591","$11,242,801",54.3%,"$9,461,790",45.7%
182,Beerfest,"$20,387,597","$19,185,184",94.1%,"$1,202,413",5.9%
183,Don,"$19,640,129","$2,223,961",11.3%,"$17,416,168",88.7%
184,Marrying the Mafia III,"$19,606,487",-,-,"$19,606,487",100%
185,Akeelah and the Bee,"$18,948,425","$18,848,430",99.5%,"$99,995",0.5%
186,See No Evil,"$18,564,467","$15,032,800",81%,"$3,531,667",19%
187,Hanbando,"$18,483,140",-,-,"$18,483,140",100%
188,Bandidas,"$18,381,890",-,-,"$18,381,890",100%
189,Friends with Money,"$18,245,244","$13,368,437",73.3%,"$4,876,807",26.7%
190,Krrish,"$18,041,250","$1,430,721",7.9%,"$16,610,529",92.1%
191,"Carry On, Munna Bhai","$17,897,527","$2,217,562",12.4%,"$15,679,965",87.6%
192,Flyboys,"$17,834,865","$13,090,630",73.4%,"$4,744,235",26.6%
193,Battle of the Warriors,"$17,812,601",-,-,"$17,812,601",100%
194,Memories of Tomorrow,"$17,696,020","$140,200",0.8%,"$17,555,820",99.2%
195,Grave Decisions,"$17,685,834",-,-,"$17,685,834",100%
196,Orchestra Seats,"$17,574,836","$2,044,858",11.6%,"$15,529,978",88.4%
197,Annapolis,"$17,496,992","$17,127,992",97.9%,"$369,000",2.1%
198,"Paris, je t'aime","$17,471,727","$4,899,278",28%,"$12,572,449",72%
199,Material Girls,"$16,907,725","$11,449,638",67.7%,"$5,458,087",32.3%
200,Zhara,"$16,877,870",-,-,"$16,877,870",100%
