Rank,Release Group,Worldwide,Domestic,%,Foreign,%
90,Taxi 4,"$65,125,001",-,-,"$65,125,001",100%
91,28 Weeks Later,"$65,048,678","$28,638,916",44%,"$36,409,762",56%
92,Lions for Lambs,"$64,811,540","$15,002,854",23.1%,"$49,808,686",76.9%
93,The Reaping,"$62,771,059","$25,126,214",40%,"$37,644,845",60%
94,Good Luck Chuck,"$59,768,495","$35,017,297",58.6%,"$24,751,198",41.4%
95,Are We Done Yet?,"$58,388,068","$49,662,533",85.1%,"$8,725,535",14.9%
96,The Mist,"$57,470,220","$25,594,957",44.5%,"$31,875,263",55.5%
97,Smokin' Aces,"$57,232,879","$35,787,686",62.5%,"$21,445,193",37.5%
98,Into the Wild,"$56,674,477","$18,354,356",32.4%,"$38,320,121",67.6%
99,Eastern Promises,"$56,106,607","$17,266,000",30.8%,"$38,840,607",69.2%
100,Tyler Perry's Why Did I Get Married?,"$55,862,886","$55,204,525",98.8%,"$658,361",1.2%
101,The Irony of Fate 2,"$55,639,741",-,-,"$55,639,741",100%
102,We Own the Night,"$55,033,767","$28,563,179",51.9%,"$26,470,588",48.1%
103,The Messengers,"$55,010,659","$35,374,833",64.3%,"$19,635,826",35.7%
104,Sea Monsters: A Prehistoric Adventure,"$50,652,463","$23,746,066",46.9%,"$26,906,397",53.1%
105,This Christmas,"$49,778,552","$49,121,934",98.7%,"$656,618",1.3%
106,May 18,"$49,282,156",-,-,"$49,282,156",100%
107,Mr. Brooks,"$48,443,734","$28,549,298",58.9%,"$19,894,436",41.1%
108,The Nanny Diaries,"$47,817,020","$25,930,652",54.2%,"$21,886,368",45.8%
109,Death at a Funeral,"$46,789,413","$8,580,428",18.3%,"$38,208,985",81.7%
110,Freedom Writers,"$43,095,175","$36,605,602",84.9%,"$6,489,573",15.1%
111,The Warlords,"$42,883,181","$129,078",0.3%,"$42,754,103",99.7%
112,Pokémon: The Rise of Darkrai,"$42,496,749",-,-,"$42,496,749",100%
113,Always: Sunset on Third Street 2,"$42,304,705",-,-,"$42,304,705",100%
114,Balls of Fury,"$41,739,111","$32,886,940",78.8%,"$8,852,171",21.2%
115,Breach,"$40,953,935","$33,231,264",81.1%,"$7,722,671",18.9%
116,War,"$40,481,352","$22,486,409",55.5%,"$17,994,943",44.5%
117,The Invasion,"$40,170,558","$15,074,191",37.5%,"$25,096,367",62.5%
118,Om Shanti Om,"$39,990,809","$3,597,372",9%,"$36,393,437",91%
119,Happily N'Ever After,"$38,085,778","$15,589,393",40.9%,"$22,496,385",59.1%
120,The Hills Have Eyes 2,"$37,697,773","$20,804,166",55.2%,"$16,893,607",44.8%
121,Natale in crociera,"$37,350,000",-,-,"$37,350,000",100%
122,Becoming Jane,"$37,311,672","$18,670,946",50%,"$18,640,726",50%
123,The Adventures of Super Monkey,"$36,745,063",-,-,"$36,745,063",100%
124,Sky of Love,"$36,684,020",-,-,"$36,684,020",100%
125,Sicko,"$36,093,504","$24,540,079",68%,"$11,553,425",32%
126,Hostel: Part II,"$35,728,183","$17,609,452",49.3%,"$18,118,731",50.7%
127,Vacancy,"$35,442,935","$19,363,565",54.6%,"$16,079,370",45.4%
128,The Darjeeling Limited,"$35,307,949","$11,902,715",33.7%,"$23,405,234",66.3%
129,Sunshine,"$34,806,360","$3,675,753",10.6%,"$31,130,607",89.4%
130,Assembly,"$34,786,960",-,-,"$34,786,960",100%
131,Gone Baby Gone,"$34,612,443","$20,292,962",58.6%,"$14,319,481",41.4%
132,Mr. Woodcock,"$33,683,200","$25,799,486",76.6%,"$7,883,714",23.4%
133,Run Fatboy Run,"$33,478,921","$6,003,262",17.9%,"$27,475,659",82.1%
134,Doraemon the Movie: Nobita's New Great Adventure into the Underworld,"$32,787,846",-,-,"$32,787,846",100%
135,Awake,"$32,730,062","$14,377,198",43.9%,"$18,352,864",56.1%
136,88 Minutes,"$32,593,385","$17,213,467",52.8%,"$15,379,918",47.2%
137,REC,"$32,511,655",-,-,"$32,511,655",100%
138,Alpha Dog,"$32,351,125","$15,309,602",47.3%,"$17,041,523",52.7%
139,Amazing Grace,"$32,120,360","$21,250,683",66.2%,"$10,869,677",33.8%
140,Hunting and Gathering,"$31,920,899",-,-,"$31,920,899",100%
141,The Seeker: The Dark Is Rising,"$31,852,619","$8,794,452",27.6%,"$23,058,167",72.4%
142,Daddy's Little Girls,"$31,609,243","$31,366,978",99.2%,"$242,265",0.8%
143,Love in the Time of Cholera,"$31,575,877","$4,607,608",14.6%,"$26,968,269",85.4%
144,Welcome,"$31,203,567",-,-,"$31,203,567",100%
145,Pathfinder,"$30,984,583","$10,232,081",33%,"$20,752,502",67%
146,Nancy Drew,"$30,666,930","$25,612,520",83.5%,"$5,054,410",16.5%
147,Death Proof,"$30,663,961",-,-,"$30,663,961",100%
148,A Beautiful Wife,"$30,385,222",-,-,"$30,385,222",100%
149,The Great Debaters,"$30,236,407","$30,236,407",100%,-,-
150,A Tale of Mari and Three Puppies,"$30,183,621",-,-,"$30,183,621",100%
151,Lissi und der wilde Kaiser,"$29,733,764",-,-,"$29,733,764",100%
152,The Fox & the Child,"$29,610,210",-,-,"$29,610,210",100%
153,In the Valley of Elah,"$29,541,790","$6,777,741",22.9%,"$22,764,049",77.1%
154,Across the Universe,"$29,367,143","$24,343,673",82.9%,"$5,023,470",17.1%
155,St. Trinian's,"$29,066,483",-,-,"$29,066,483",100%
156,Manual of Love 2,"$27,833,482",-,-,"$27,833,482",100%
157,The Last Mimzy,"$27,308,918","$21,471,047",78.6%,"$5,837,871",21.4%
158,Dororo,"$27,308,865",-,-,"$27,308,865",100%
159,Shoot 'Em Up,"$27,122,238","$12,807,139",47.2%,"$14,315,099",52.8%
160,Rendition,"$27,066,382","$9,736,045",36%,"$17,330,337",64%
161,The Invisible,"$26,810,113","$20,578,909",76.8%,"$6,231,204",23.2%
162,Mongol: The Rise of Genghis Khan,"$26,527,510","$5,705,761",21.5%,"$20,821,749",78.5%
163,Bratz,"$26,013,153","$10,010,209",38.5%,"$16,002,944",61.5%
164,Grindhouse,"$25,422,088","$25,037,897",98.5%,"$384,191",1.5%
165,The Hitcher,"$25,399,945","$16,472,961",64.9%,"$8,926,984",35.1%
166,The Last Legion,"$25,303,038","$5,933,494",23.4%,"$19,369,544",76.6%
167,Before the Devil Knows You're Dead,"$25,037,657","$7,084,227",28.3%,"$17,953,430",71.7%
168,Georgia Rule,"$25,000,167","$19,103,072",76.4%,"$5,897,095",23.6%
169,Guru,"$24,108,727","$2,096,000",8.7%,"$22,012,727",91.3%
170,Partner,"$23,968,620","$1,062,840",4.4%,"$22,905,780",95.6%
171,Persepolis,"$22,783,978","$4,445,756",19.5%,"$18,338,222",80.5%
172,Cassandra's Dream,"$22,686,378","$973,018",4.3%,"$21,713,360",95.7%
173,Dead Silence,"$22,382,047","$16,809,076",75.1%,"$5,572,971",24.9%
174,Reign Over Me,"$22,242,388","$19,661,987",88.4%,"$2,580,401",11.6%
175,Waitress,"$22,240,529","$19,074,800",85.8%,"$3,165,729",14.2%
176,Crows Zero,"$22,036,607",-,-,"$22,036,607",100%
177,Reno 911! Miami,"$22,021,262","$20,342,161",92.4%,"$1,679,101",7.6%
178,My Blueberry Nights,"$22,007,671","$867,275",3.9%,"$21,140,396",96.1%
179,Unfair: The Movie,"$21,914,005",-,-,"$21,914,005",100%
180,Like Stars on Earth,"$21,897,373","$1,223,869",5.6%,"$20,673,504",94.4%
181,Chak De! India,"$21,505,244","$1,120,404",5.2%,"$20,384,840",94.8%
182,Arn: The Knight Templar,"$21,287,566",-,-,"$21,287,566",100%
183,Penelope,"$21,156,270","$10,011,996",47.3%,"$11,144,274",52.7%
184,Once,"$20,936,722","$9,439,923",45.1%,"$11,496,799",54.9%
185,Le Grand Chef,"$20,794,760",-,-,"$20,794,760",100%
186,Walk Hard: The Dewey Cox Story,"$20,576,198","$18,317,151",89%,"$2,259,047",11%
187,Detective Conan: Jolly Roger in the Deep Azure,"$20,440,213",-,-,"$20,440,213",100%
188,The Namesake,"$20,354,321","$13,569,248",66.7%,"$6,785,073",33.3%
189,Evening,"$20,016,753","$12,492,481",62.4%,"$7,524,272",37.6%
190,The Diving Bell and the Butterfly,"$19,780,116","$6,003,227",30.3%,"$13,776,889",69.7%
191,Two Days in Paris,"$19,776,159","$4,433,994",22.4%,"$15,342,165",77.6%
192,Bhool Bhulaiyaa,"$19,073,095","$1,097,797",5.8%,"$17,975,298",94.2%
193,A Mighty Heart,"$19,008,745","$9,176,787",48.3%,"$9,831,958",51.7%
194,The Wild Guys 4,"$18,873,863",-,-,"$18,873,863",100%
195,Kitaro,"$18,856,642",-,-,"$18,856,642",100%
196,The Counterfeiters,"$18,814,713","$5,488,570",29.2%,"$13,326,143",70.8%
197,Ho voglia di te,"$18,594,142",-,-,"$18,594,142",100%
198,Saawariya,"$18,513,120","$885,574",4.8%,"$17,627,546",95.2%
199,Daddy Day Camp,"$18,197,398","$13,235,267",72.7%,"$4,962,131",27.3%
200,Voice of a Murderer,"$18,160,598",-,-,"$18,160,598",100%
